player,tm,zone,stat,value,shots,percent,FGA
A'ja Wilson,LVA,restricted,FGM,64,made,75.3,85
Aerial Powers,WAS,restricted,FGM,5,made,100,5
Alaina Coates,WAS,restricted,FGM,15,made,75,20
Alanna Smith,PHO,restricted,FGM,20,made,69,29
Alexis Jones,ATL,restricted,FGM,0,made,0,0
Alexis Prince,CHI,restricted,FGM,0,made,0,0
Alisia Jenkins,PHO,restricted,FGM,0,made,0,1
Allie Quigley,CHI,restricted,FGM,11,made,78.6,14
Allisha Gray,DAL,restricted,FGM,32,made,82.1,39
Alysha Clark,SEA,restricted,FGM,26,made,76.5,34
Alyssa Thomas,CON,restricted,FGM,56,made,65.1,86
Amanda Zahui B,NYL,restricted,FGM,18,made,64.3,28
Angel Mccoughtry,LVA,restricted,FGM,42,made,68.9,61
Ariel Atkins,WAS,restricted,FGM,14,made,70,20
Arike Ogunbowale,DAL,restricted,FGM,40,made,75.5,53
Astou Ndour,DAL,restricted,FGM,9,made,100,9
Avery Warley-Talbert,LVA,restricted,FGM,3,made,60,5
Azur¡ Stevens,CHI,restricted,FGM,25,made,83.3,30
Beatrice Mompremier,CON,restricted,FGM,11,made,55,20
Bella Alarie,DAL,restricted,FGM,13,made,61.9,21
Betnijah Laney,ATL,restricted,FGM,48,made,77.4,62
Blake Dietrick,ATL,restricted,FGM,11,made,61.1,18
Breanna Stewart,SEA,restricted,FGM,44,made,74.6,59
Bria Hartley,PHO,restricted,FGM,15,made,65.2,23
Bria Holmes,CON,restricted,FGM,11,made,50,22
Briann January,CON,restricted,FGM,1,made,20,5
Brianna Turner,PHO,restricted,FGM,42,made,62.7,67
Bridget Carleton,MIN,restricted,FGM,11,made,73.3,15
Brionna Jones,CON,restricted,FGM,67,made,69.8,96
Brittany Brewer,ATL,restricted,FGM,1,made,100,1
Brittney Griner,PHO,restricted,FGM,29,made,65.9,44
Brittney Sykes,LAS,restricted,FGM,26,made,66.7,39
Candace Parker,LAS,restricted,FGM,64,made,74.4,86
Candice Dupree,IND,restricted,FGM,27,made,71.1,38
Carolyn Swords,LVA,restricted,FGM,15,made,68.2,22
Chelsea Gray,LAS,restricted,FGM,26,made,65,40
Chennedy Carter,ATL,restricted,FGM,36,made,70.6,51
Cheyenne Parker,CHI,restricted,FGM,47,made,69.1,68
Cierra Burdick,LVA,restricted,FGM,1,made,100,1
Courtney Vandersloot,CHI,restricted,FGM,46,made,74.2,62
Courtney Williams,ATL,restricted,FGM,14,made,60.9,23
