player,season,tm,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,trb,ast,stl,blk,tov,pf,pts,avg_mp,avg_fg,avg_fga,avg_3p,avg_3pa,avg_2p,avg_2pa,avg_ft,avg_fta,avg_pts,avg_orb,avg_trb,avg_ast,avg_blk,avg_stl,avg_tov,avg_pf
Jessica Adair,2011,MIN,C,31,1,321,50,103,0.485,0,0,NA,50,103,0.485,0.485,32,49,0.653,43,90,10,8,18,27,51,132,10.4,1.6,3.3,0,0,1.6,3.3,1,1.6,4.3,1.4,2.9,0.3,0.6,0.3,0.9,1.6
Danielle Adams,2011,SAS,F-C,23,0,480,99,230,0.43,35,100,0.35,64,130,0.492,0.507,53,71,0.746,35,98,13,12,15,27,60,286,20.9,4.3,10,1.5,4.3,2.8,5.7,2.3,3.1,12.4,1.5,4.3,0.6,0.7,0.5,1.2,2.6
Matee Ajavon,2011,WAS,G,34,33,1065,174,445,0.391,37,134,0.276,137,311,0.441,0.433,116,140,0.829,30,80,105,57,9,105,109,501,31.3,5.1,13.1,1.1,3.9,4,9.1,3.4,4.1,14.7,0.9,2.4,3.1,0.3,1.7,3.1,3.2
Nicky Anosike,2011,WAS,F-C,34,29,924,75,216,0.347,0,1,0,75,215,0.349,0.347,89,121,0.736,83,245,47,49,28,59,87,239,27.2,2.2,6.4,0,0,2.2,6.3,2.6,3.6,7,2.4,7.2,1.4,0.8,1.4,1.7,2.6
Jayne Appel-Marinelli,2011,SAS,C,31,0,452,42,89,0.472,1,3,0.333,41,86,0.477,0.478,14,25,0.56,40,142,25,17,20,23,68,99,14.6,1.4,2.9,0,0.1,1.3,2.8,0.5,0.8,3.2,1.3,4.6,0.8,0.6,0.5,0.7,2.2
Seimone Augustus,2011,MIN,G-F,34,34,997,231,458,0.504,25,60,0.417,206,398,0.518,0.532,64,74,0.865,19,120,75,30,15,45,41,551,29.3,6.8,13.5,0.7,1.8,6.1,11.7,1.9,2.2,16.2,0.6,3.5,2.2,0.4,0.9,1.3,1.2
Miranda Ayim,2011,TUL,F,3,0,42,4,9,0.444,0,0,NA,4,9,0.444,0.444,0,2,0,4,7,2,2,1,4,7,8,14,1.3,3,0,0,1.3,3,0,0.7,2.7,1.3,2.3,0.7,0.3,0.7,1.3,2.3
Alison Bales,2011,ATL,C,34,15,687,70,144,0.486,6,17,0.353,64,127,0.504,0.507,24,32,0.75,35,160,42,15,53,16,56,170,20.2,2.1,4.2,0.2,0.5,1.9,3.7,0.7,0.9,5,1,4.7,1.2,1.6,0.4,0.5,1.6
Tully Bevilaqua,2011,SAS,G,34,25,494,37,82,0.451,12,42,0.286,25,40,0.625,0.524,13,18,0.722,10,48,55,24,2,25,31,99,14.5,1.1,2.4,0.4,1.2,0.7,1.2,0.4,0.5,2.9,0.3,1.4,1.6,0.1,0.7,0.7,0.9
Sue Bird,2011,SEA,G,34,34,1123,183,408,0.449,71,166,0.428,112,242,0.463,0.536,63,72,0.875,14,99,165,48,6,80,43,500,33,5.4,12,2.1,4.9,3.3,7.1,1.9,2.1,14.7,0.4,2.9,4.9,0.2,1.4,2.4,1.3
Angie Bjorklund,2011,CHI,F,7,0,43,2,11,0.182,1,5,0.2,1,6,0.167,0.227,3,3,1,0,2,2,1,0,2,8,8,6.1,0.3,1.6,0.1,0.7,0.1,0.9,0.4,0.4,1.1,0,0.3,0.3,0,0.1,0.3,1.1
Shannon Bobbitt,2011,IND,G,31,3,439,41,115,0.357,17,44,0.386,24,71,0.338,0.43,23,30,0.767,12,41,54,30,0,37,33,122,14.2,1.3,3.7,0.5,1.4,0.8,2.3,0.7,1,3.9,0.4,1.3,1.7,0,1,1.2,1.1
DeWanna Bonner,2011,PHO,F-G,34,5,857,120,279,0.43,35,102,0.343,85,177,0.48,0.493,90,99,0.909,62,238,27,34,36,34,61,365,25.2,3.5,8.2,1,3,2.5,5.2,2.6,2.9,10.7,1.8,7,0.8,1.1,1,1,1.8
Kara Braxton,2011,NYL,C-F,13,0,166,23,58,0.397,1,3,0.333,22,55,0.4,0.405,4,10,0.4,17,39,10,5,6,19,28,51,12.8,1.8,4.5,0.1,0.2,1.7,4.2,0.3,0.8,3.9,1.3,3,0.8,0.5,0.4,1.5,2.2
Kara Braxton,2011,PHO,C-F,18,18,356,81,145,0.559,4,8,0.5,77,137,0.562,0.572,25,42,0.595,29,89,24,15,14,32,57,191,19.8,4.5,8.1,0.2,0.4,4.3,7.6,1.4,2.3,10.6,1.6,4.9,1.3,0.8,0.8,1.8,3.2
Kara Braxton,2011,TOT,C-F,31,18,522,104,203,0.512,5,11,0.455,99,192,0.516,0.525,29,52,0.558,46,128,34,20,20,51,85,242,16.8,3.4,6.5,0.2,0.4,3.2,6.2,0.9,1.7,7.8,1.5,4.1,1.1,0.6,0.6,1.6,2.7
Jessica Breland,2011,CON,F,4,0,6,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,0,0,0,0,1,0,0,2,1.5,0.2,0.5,0,0,0.2,0.5,0,0,0.5,0,0,0,0.2,0,0,0
Jessica Breland,2011,NYL,F,9,0,69,8,21,0.381,0,0,NA,8,21,0.381,0.381,2,2,1,3,14,4,2,6,3,9,18,7.7,0.9,2.3,0,0,0.9,2.3,0.2,0.2,2,0.3,1.6,0.4,0.7,0.2,0.3,1
Jessica Breland,2011,TOT,F,13,0,75,9,23,0.391,0,0,NA,9,23,0.391,0.391,2,2,1,3,14,4,2,7,3,9,20,5.8,0.7,1.8,0,0,0.7,1.8,0.2,0.2,1.5,0.2,1.1,0.3,0.5,0.2,0.2,0.7
Rebekkah Brunson,2011,MIN,F,34,34,938,137,268,0.511,0,0,NA,137,268,0.511,0.511,74,111,0.667,96,301,40,28,18,51,72,348,27.6,4,7.9,0,0,4,7.9,2.2,3.3,10.2,2.8,8.9,1.2,0.5,0.8,1.5,2.1
Liz Cambage,2011,TUL,C,33,11,659,134,262,0.511,0,5,0,134,257,0.521,0.511,112,141,0.794,54,156,17,28,29,79,95,380,20,4.1,7.9,0,0.2,4.1,7.8,3.4,4.3,11.5,1.6,4.7,0.5,0.9,0.8,2.4,2.9
Dominique Canty,2011,CHI,G,22,8,331,35,110,0.318,1,7,0.143,34,103,0.33,0.323,19,33,0.576,8,27,45,10,2,32,37,90,15,1.6,5,0,0.3,1.5,4.7,0.9,1.5,4.1,0.4,1.2,2,0.1,0.5,1.5,1.7
Essence Carson,2011,NYL,G,32,5,725,139,318,0.437,24,62,0.387,115,256,0.449,0.475,59,80,0.738,31,90,53,38,20,46,60,361,22.7,4.3,9.9,0.8,1.9,3.6,8,1.8,2.5,11.3,1,2.8,1.7,0.6,1.2,1.4,1.9
Swin Cash,2011,SEA,F,34,34,1128,151,381,0.396,35,123,0.285,116,258,0.45,0.442,115,136,0.846,52,234,81,32,21,94,100,452,33.2,4.4,11.2,1,3.6,3.4,7.6,3.4,4,13.3,1.5,6.9,2.4,0.6,0.9,2.8,2.9
Iziane Castro Marques,2011,ATL,F-G,34,14,672,99,275,0.36,17,80,0.213,82,195,0.421,0.391,44,71,0.62,15,58,57,13,4,54,38,259,19.8,2.9,8.1,0.5,2.4,2.4,5.7,1.3,2.1,7.6,0.4,1.7,1.7,0.1,0.4,1.6,1.1
Tamika Catchings,2011,IND,F,33,33,1040,168,384,0.438,32,92,0.348,136,292,0.466,0.479,143,162,0.883,63,233,115,67,30,73,69,511,31.5,5.1,11.6,1,2.8,4.1,8.8,4.3,4.9,15.5,1.9,7.1,3.5,0.9,2,2.2,2.1
Tina Charles,2011,CON,C,34,34,1136,254,543,0.468,0,3,0,254,540,0.47,0.468,92,134,0.687,126,374,63,26,60,75,89,600,33.4,7.5,16,0,0.1,7.5,15.9,2.7,3.9,17.6,3.7,11,1.9,1.8,0.8,2.2,2.6
Joy Cheek,2011,WAS,F,3,0,16,1,4,0.25,0,1,0,1,3,0.333,0.25,1,1,1,0,3,0,0,1,2,2,3,5.3,0.3,1.3,0,0.3,0.3,1,0.3,0.3,1,0,1,0,0.3,0,0.7,0.7
Felicia Chester,2011,NYL,F,4,0,27,1,3,0.333,0,0,NA,1,3,0.333,0.333,0,2,0,4,8,0,1,0,0,4,2,6.8,0.2,0.8,0,0,0.2,0.8,0,0.5,0.5,1,2,0,0,0.2,0,1
Karima Christmas-Kelly,2011,TOT,F-G,31,0,308,30,88,0.341,9,40,0.225,21,48,0.438,0.392,32,43,0.744,20,37,7,14,4,25,35,101,9.9,1,2.8,0.3,1.3,0.7,1.5,1,1.4,3.3,0.6,1.2,0.2,0.1,0.5,0.8,1.1
Karima Christmas-Kelly,2011,TUL,F-G,17,0,166,17,46,0.37,4,17,0.235,13,29,0.448,0.413,16,20,0.8,11,20,6,6,3,16,19,54,9.8,1,2.7,0.2,1,0.8,1.7,0.9,1.2,3.2,0.6,1.2,0.4,0.2,0.4,0.9,1.1
Karima Christmas-Kelly,2011,WAS,F-G,14,0,142,13,42,0.31,5,23,0.217,8,19,0.421,0.369,16,23,0.696,9,17,1,8,1,9,16,47,10.1,0.9,3,0.4,1.6,0.6,1.4,1.1,1.6,3.4,0.6,1.2,0.1,0.1,0.6,0.6,1.1
Marissa Coleman,2011,WAS,G-F,34,28,918,107,278,0.385,53,144,0.368,54,134,0.403,0.48,25,37,0.676,46,164,47,24,14,54,80,292,27,3.1,8.2,1.6,4.2,1.6,3.9,0.7,1.1,8.6,1.4,4.8,1.4,0.4,0.7,1.6,2.4
Sydney Colson,2011,NYL,G,16,0,86,7,20,0.35,3,7,0.429,4,13,0.308,0.425,5,6,0.833,0,6,10,4,2,17,9,22,5.4,0.4,1.2,0.2,0.4,0.2,0.8,0.3,0.4,1.4,0,0.4,0.6,0.1,0.2,1.1,0.6
Monique Currie,2011,WAS,F,4,1,77,15,35,0.429,1,8,0.125,14,27,0.519,0.443,16,16,1,7,17,4,7,0,10,11,47,19.2,3.8,8.8,0.2,2,3.5,6.8,4,4,11.8,1.8,4.2,1,0,1.8,2.5,2.8
Jessica Davenport,2011,IND,C,34,8,717,145,274,0.529,0,3,0,145,271,0.535,0.529,73,104,0.702,50,163,17,27,45,55,77,363,21.1,4.3,8.1,0,0.1,4.3,8,2.1,3.1,10.7,1.5,4.8,0.5,1.3,0.8,1.6,2.3
Erika de Souza,2011,ATL,F-C,32,32,877,171,343,0.499,0,1,0,171,342,0.5,0.499,36,55,0.655,83,240,31,38,43,57,94,378,27.4,5.3,10.7,0,0,5.3,10.7,1.1,1.7,11.8,2.6,7.5,1,1.3,1.2,1.8,2.9
Scholanda Dorrell,2011,SAS,G,32,22,518,52,155,0.335,18,53,0.34,34,102,0.333,0.394,31,44,0.705,9,49,12,23,7,19,51,153,16.2,1.6,4.8,0.6,1.7,1.1,3.2,1,1.4,4.8,0.3,1.5,0.4,0.2,0.7,0.6,1.6
Katie Douglas,2011,IND,G-F,32,32,940,166,357,0.465,66,150,0.44,100,207,0.483,0.557,47,70,0.671,31,126,91,41,8,65,48,445,29.4,5.2,11.2,2.1,4.7,3.1,6.5,1.5,2.2,13.9,1,3.9,2.8,0.2,1.3,2,1.5
Victoria Dunlap,2011,WAS,F,26,3,219,25,57,0.439,1,2,0.5,24,55,0.436,0.447,8,17,0.471,17,43,11,18,5,15,19,59,8.4,1,2.2,0,0.1,0.9,2.1,0.3,0.7,2.3,0.7,1.7,0.4,0.2,0.7,0.6,0.7
Candice Dupree,2011,PHO,F,34,34,1075,198,361,0.548,1,6,0.167,197,355,0.555,0.55,98,115,0.852,86,279,61,19,25,67,74,495,31.6,5.8,10.6,0,0.2,5.8,10.4,2.9,3.4,14.6,2.5,8.2,1.8,0.7,0.6,2,2.2
Shyra Ely-Gash,2011,IND,F,33,0,355,39,109,0.358,5,24,0.208,34,85,0.4,0.381,20,29,0.69,19,73,9,6,6,25,46,103,10.8,1.2,3.3,0.2,0.7,1,2.6,0.6,0.9,3.1,0.6,2.2,0.3,0.2,0.2,0.8,1.4
Marie Ferdinand-Harris,2011,PHO,G,34,2,593,87,260,0.335,18,54,0.333,69,206,0.335,0.369,38,39,0.974,14,51,39,19,7,43,61,230,17.4,2.6,7.6,0.5,1.6,2,6.1,1.1,1.1,6.8,0.4,1.5,1.1,0.2,0.6,1.3,1.8
Sylvia Fowles,2011,CHI,C,34,34,1175,263,445,0.591,0,0,NA,263,445,0.591,0.591,154,201,0.766,100,347,22,41,68,96,85,680,34.6,7.7,13.1,0,0,7.7,13.1,4.5,5.9,20,2.9,10.2,0.6,2,1.2,2.8,2.5
Kerri Gardin,2011,WAS,F,28,5,391,14,59,0.237,0,8,0,14,51,0.275,0.237,15,29,0.517,22,75,27,24,13,26,39,43,14,0.5,2.1,0,0.3,0.5,1.8,0.5,1,1.5,0.8,2.7,1,0.5,0.9,0.9,1.4
Alexis Gray-Lawson,2011,PHO,G,27,0,308,33,83,0.398,15,43,0.349,18,40,0.45,0.488,23,28,0.821,5,20,35,6,0,21,30,104,11.4,1.2,3.1,0.6,1.6,0.7,1.5,0.9,1,3.9,0.2,0.7,1.3,0,0.2,0.8,1.1
Kalana Greene,2011,CON,G,33,33,781,70,166,0.422,18,46,0.391,52,120,0.433,0.476,27,45,0.6,26,125,49,30,12,29,55,185,23.7,2.1,5,0.5,1.4,1.6,3.6,0.8,1.4,5.6,0.8,3.8,1.5,0.4,0.9,0.9,1.7
Kelsey Griffin,2011,CON,F,34,2,441,41,115,0.357,4,24,0.167,37,91,0.407,0.374,38,52,0.731,45,104,18,25,10,13,42,124,13,1.2,3.4,0.1,0.7,1.1,2.7,1.1,1.5,3.6,1.3,3.1,0.5,0.3,0.7,0.4,1.2
Becky Hammon,2011,SAS,G,33,33,1050,176,400,0.44,75,193,0.389,101,207,0.488,0.534,99,111,0.892,5,96,192,49,7,119,51,526,31.8,5.3,12.1,2.3,5.8,3.1,6.3,3,3.4,15.9,0.2,2.9,5.8,0.2,1.5,3.6,1.5
Lindsey Harding,2011,ATL,G,34,33,1037,141,310,0.455,10,33,0.303,131,277,0.473,0.471,66,90,0.733,17,109,162,34,6,81,60,358,30.5,4.1,9.1,0.3,1,3.9,8.1,1.9,2.6,10.5,0.5,3.2,4.8,0.2,1,2.4,1.8
Amber Harris,2011,MIN,F,27,0,278,33,83,0.398,0,0,NA,33,83,0.398,0.398,23,31,0.742,24,60,11,3,11,13,33,89,10.3,1.2,3.1,0,0,1.2,3.1,0.9,1.1,3.3,0.9,2.2,0.4,0.4,0.1,0.5,1.2
Allison Hightower,2011,CON,G,25,2,231,19,56,0.339,4,18,0.222,15,38,0.395,0.375,9,12,0.75,4,16,13,11,1,7,22,51,9.2,0.8,2.2,0.2,0.7,0.6,1.5,0.4,0.5,2,0.2,0.6,0.5,0,0.4,0.3,0.9
Doneeka Lewis,2011,TUL,G,5,2,101,12,43,0.279,7,26,0.269,5,17,0.294,0.36,0,0,NA,3,11,14,4,1,13,7,31,20.2,2.4,8.6,1.4,5.2,1,3.4,0,0,6.2,0.6,2.2,2.8,0.2,0.8,2.6,1.4
Roneeka Hodges,2011,SAS,G,28,5,273,36,89,0.404,32,80,0.4,4,9,0.444,0.584,5,5,1,3,35,14,5,2,4,10,109,9.8,1.3,3.2,1.1,2.9,0.1,0.3,0.2,0.2,3.9,0.1,1.2,0.5,0.1,0.2,0.1,0.4
Ebony Hoffman,2011,LAS,F,34,16,752,97,222,0.437,24,56,0.429,73,166,0.44,0.491,38,45,0.844,44,142,37,36,9,51,77,256,22.1,2.9,6.5,0.7,1.6,2.1,4.9,1.1,1.3,7.5,1.3,4.2,1.1,0.3,1.1,1.5,2.3
Quanitra Hollingsworth,2011,NYL,C,31,1,524,54,103,0.524,0,0,NA,54,103,0.524,0.524,36,53,0.679,54,137,10,16,10,44,79,144,16.9,1.7,3.3,0,0,1.7,3.3,1.2,1.7,4.6,1.7,4.4,0.3,0.3,0.5,1.4,2.5
Amber Holt,2011,TUL,F,26,24,666,61,202,0.302,15,70,0.214,46,132,0.348,0.339,38,42,0.905,28,80,62,18,3,34,57,175,25.6,2.3,7.8,0.6,2.7,1.8,5.1,1.5,1.6,6.7,1.1,3.1,2.4,0.1,0.7,1.3,2.2
Alexis Hornbuckle,2011,MIN,G,29,0,208,12,32,0.375,5,17,0.294,7,15,0.467,0.453,2,4,0.5,6,33,16,10,3,21,30,31,7.2,0.4,1.1,0.2,0.6,0.2,0.5,0.1,0.1,1.1,0.2,1.1,0.6,0.1,0.3,0.7,1
Charde Houston,2011,MIN,F,27,0,210,31,85,0.365,6,23,0.261,25,62,0.403,0.4,9,12,0.75,10,47,14,9,2,21,34,77,7.8,1.1,3.1,0.2,0.9,0.9,2.3,0.3,0.4,2.9,0.4,1.7,0.5,0.1,0.3,0.8,1.3
Ify Ibekwe,2011,SEA,F,3,0,8,0,2,0,0,0,NA,0,2,0,0,0,0,NA,0,3,0,0,0,1,0,0,2.7,0,0.7,0,0,0,0.7,0,0,0,0,1,0,0,0,0.3,0
Sandora Irvin,2011,ATL,F,30,1,248,20,59,0.339,0,5,0,20,54,0.37,0.339,14,20,0.7,32,76,14,6,15,16,48,54,8.3,0.7,2,0,0.2,0.7,1.8,0.5,0.7,1.8,1.1,2.5,0.5,0.5,0.2,0.5,1.6
Lauren Jackson,2011,SEA,F-C,13,13,322,53,134,0.396,14,45,0.311,39,89,0.438,0.448,38,43,0.884,11,64,4,13,11,17,33,158,24.8,4.1,10.3,1.1,3.5,3,6.8,2.9,3.3,12.2,0.8,4.9,0.3,0.8,1,1.3,2.5
Tiffany Jackson-Jones,2011,TUL,F,34,32,1152,151,331,0.456,0,1,0,151,330,0.458,0.456,121,156,0.776,100,286,68,40,21,95,94,423,33.9,4.4,9.7,0,0,4.4,9.7,3.6,4.6,12.4,2.9,8.4,2,0.6,1.2,2.8,2.8
Briann January,2011,IND,G,10,10,286,25,70,0.357,7,22,0.318,18,48,0.375,0.407,29,35,0.829,5,14,50,15,0,33,33,86,28.6,2.5,7,0.7,2.2,1.8,4.8,2.9,3.5,8.6,0.5,1.4,5,0,1.5,3.3,3.3
Temeka Johnson,2011,PHO,G,30,30,717,74,170,0.435,25,65,0.385,49,105,0.467,0.509,19,22,0.864,9,60,132,24,5,57,53,192,23.9,2.5,5.7,0.8,2.2,1.6,3.5,0.6,0.7,6.4,0.3,2,4.4,0.2,0.8,1.9,1.8
Asjha Jones,2011,CON,F,34,34,971,198,446,0.444,3,10,0.3,195,436,0.447,0.447,54,76,0.711,64,217,64,21,16,64,102,453,28.6,5.8,13.1,0.1,0.3,5.7,12.8,1.6,2.2,13.3,1.9,6.4,1.9,0.5,0.6,1.9,3
