number,player,position,ht,wt,DOB,country,exp,college,team
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us,2,"Williams, Michigan",MIA
5,Precious Achiuwa,PF,6-8,225,"September 19, 1999",ng,R,Memphis,MIA
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us,3,Kentucky,MIA
28,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,16,Arizona,MIA
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us,1,Kentucky,MIA
25,Kendrick Nunn,PG,6-2,190,"August 3, 1995",us,1,"Illinois, Oakland",MIA
22,Jimmy Butler,SF,6-7,230,"September 14, 1989",us,9,Marquette,MIA
2,Gabe Vincent,PG,6-3,200,"June 14, 1996",us,1,UC Santa Barbara,MIA
7,Goran Dragić,PG,6-3,190,"May 6, 1986",si,12,,MIA
31,Max Strus,SF,6-5,215,"March 28, 1996",us,1,"Lewis (IL), DePaul",MIA
"4, 11",KZ Okpala,PF,6-8,215,"April 28, 1999",us,1,Stanford,MIA
"0, 8",Trevor Ariza,SF,6-8,215,"June 30, 1985",us,16,UCLA,MIA
70,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",rs,5,,MIA
4,Victor Oladipo,SG,6-4,213,"May 4, 1992",us,7,Indiana,MIA
21,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,7,USC,MIA
,Udonis Haslem,C,6-8,235,"June 9, 1980",us,17,Florida,MIA
11,Brook Lopez,C,7-0,282,"April 1, 1988",us,12,Stanford,MIL
7,Bryn Forbes,SG,6-2,205,"July 23, 1993",us,4,Michigan State,MIL
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us,8,Texas A&M,MIL
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us,5,Notre Dame,MIL
9,Bobby Portis,C,6-10,250,"February 10, 1995",us,5,Arkansas,MIL
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us,2,Villanova,MIL
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr,7,,MIL
21,Jrue Holiday,PG,6-3,205,"June 12, 1990",us,11,UCLA,MIL
43,Thanasis Antetokounmpo,SF,6-6,219,"July 18, 1992",gr,2,,MIL
15,Sam Merrill,SG,6-4,205,"May 15, 1996",us,R,Utah State University,MIL
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us,R,Louisville,MIL
25,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gn,R,Virginia,MIL
5,Jeff Teague,PG,6-3,195,"June 10, 1988",us,11,Wake Forest,MIL
66,Axel Toupane,SF,6-7,197,"July 23, 1992",fr,2,,MIL
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us,9,Texas,MIL
0,Rodions Kurucs,SF,6-9,228,"February 5, 1998",lv,2,,MIL
5,Eric Bledsoe,SG,6-1,214,"December 9, 1989",us,10,Kentucky,NOP
12,Steven Adams,C,6-11,265,"July 20, 1993",nz,7,Pitt,NOP
1,Zion Williamson,PF,6-7,284,"July 6, 2000",us,1,Duke,NOP
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us,4,Duke,NOP
3,Josh Hart,SF,6-5,215,"March 6, 1995",us,3,Villanova,NOP
10,Jaxson Hayes,C,6-11,220,"May 23, 2000",us,1,Texas,NOP
2,Lonzo Ball,PG,6-6,190,"October 27, 1997",us,3,UCLA,NOP
6,Nickeil Alexander-Walker,SG,6-6,205,"September 2, 1998",ca,1,Virginia Tech,NOP
13,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us,R,Alabama,NOP
9,Willy Hernangómez,C,6-11,250,"May 27, 1994",es,4,,NOP
8,Naji Marshall,SF,6-7,220,"January 24, 1998",us,R,Xavier,NOP
15,Sindarius Thornwell,SG,6-4,215,"November 15, 1994",us,3,South Carolina,NOP
16,James Johnson,PF,6-7,240,"February 20, 1987",us,11,Wake Forest,NOP
4,Wesley Iwundu,SF,6-6,195,"December 20, 1994",us,3,Kansas State,NOP
32,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd,1,Kentucky,NOP
24,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us,9,Washington,NOP
21,James Nunnally,SF,6-7,208,"July 14, 1990",us,2,UC Santa Barbara,NOP
25,Jakob Poeltl,C,7-1,245,"October 15, 1995",at,4,Utah,SAS
5,Dejounte Murray,PG,6-4,180,"September 19, 1996",us,3,Washington,SAS
8,Patty Mills,PG,6-1,180,"August 11, 1988",au,11,Saint Mary's,SAS
3,Keldon Johnson,SF,6-5,220,"October 11, 1999",us,1,Kentucky,SAS
22,Rudy Gay,PF,6-8,250,"August 17, 1986",us,14,UConn,SAS
10,DeMar DeRozan,PF,6-6,220,"August 7, 1989",us,11,USC,SAS
24,Devin Vassell,SF,6-5,200,"August 23, 2000",us,R,Florida State,SAS
1,Lonnie Walker,SG,6-4,204,"December 14, 1998",us,2,Miami (FL),SAS
14,Drew Eubanks,C,6-9,245,"February 1, 1997",us,2,Oregon State,SAS
4,Derrick White,SG,6-4,190,"July 2, 1994",us,3,"Colorado-Colorado Springs, Colorado",SAS
33,Tre Jones,PG,6-1,185,"January 8, 2000",us,R,Duke,SAS
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca,5,Kentucky,SAS
19,Luka Šamanić,PF,6-10,227,"January 9, 2000",hr,1,,SAS
31,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",us,2,Ohio State,SAS
15,Quinndary Weatherspoon,SG,6-3,205,"September 10, 1996",us,1,Mississippi State,SAS
7,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn,7,Louisville,SAS
23,Cameron Reynolds,SF,6-7,225,"February 7, 1995",us,1,Tulane,SAS
12,Joe Harris,SF,6-6,220,"September 6, 1991",us,6,Virginia,BRK
8,Jeff Green,C,6-8,235,"August 28, 1986",us,12,Georgetown,BRK
