player,snake_name,player_id,dob,height,weight,college
Natalie Achonwa,natalie-achonwa,203831,1992-11-22,6-3,190,Notre Dame/Canada
Jaylyn Agnew,jaylyn-agnew,1630153,1997-07-21,5-11,149,Creighton/USA
Bella Alarie,bella-alarie,1630093,1998-04-23,6-4,NA,Princeton/USA
Kayla Alexander,kayla-alexander,203405,1991-01-05,6-4,186,Syracuse/Canada
Julie Allemand,julie-allemand,1627700,1996-07-07,5-8,147,/Belgium
Lindsay Allen,lindsay-allen,1628263,1995-03-20,5-8,144,Notre Dame/USA
Kristine Anigwe,kristine-anigwe,1629485,1997-03-31,6-4,200,California/USA
Ariel Atkins,ariel-atkins,1628878,1996-07-30,5-8,167,Texas/USA
Seimone Augustus,seimone-augustus,200671,1984-04-30,6-0,174,Louisiana State/USA
Rachel Banham,rachel-banham,1627671,1993-07-15,5-9,172,Minnesota/USA
Monique Billings,monique-billings,1628881,1996-05-02,6-4,192,UCLA/USA
Sue Bird,sue-bird,100720,1980-10-16,5-9,150,Connecticut/USA
DeWanna Bonner,dewanna-bonner,201886,1987-08-21,6-4,143,Auburn/USA
Brittany Brewer,brittany-brewer,1630095,1997-11-06,6-5,182,Texas Tech/USA
Kalani Brown,kalani-brown,1629480,1997-03-21,6-7,245,Baylor/USA
Lexie Brown,lexie-brown,1628882,1994-10-27,5-9,160,Duke/USA
Cierra Burdick,cierra-burdick,204332,1993-09-30,6-2,172,Tennessee
Kennedy Burke,kennedy-burke,1629568,1997-02-14,,NA,UCLA/USA
Jordin Canada,jordin-canada,1628886,1995-08-11,5-6,135,UCLA/USA
Bridget Carleton,bridget-carleton,1629524,1997-05-22,6-1,180,Iowa State/Canada
Essence Carson,essence-carson,201502,1986-07-28,6-0,163,Rutgers/USA
Essence Carson,essence-carson,201502,1986-07-28,6-0,163,Rutgers/USA
Essence Carson,essence-carson,201502,1986-07-28,6-0,163,Rutgers/USA
Chennedy Carter,chennedy-carter,1630150,1998-11-14,5-9,143,USA/USA
Kaila Charles,kaila-charles,1630097,1998-03-23,6-1,167,Maryland/USA
Karima Christmas-Kelly,karima-christmas-kelly,202640,1989-09-11,6-0,209,Duke/USA
Layshia Clarendon,layshia-clarendon,203406,1991-05-02,5-9,158,California/USA
Alysha Clark,alysha-clark,202252,1987-07-07,5-11,167,Middle Tennessee State/USA
Alaina Coates,alaina-coates,1628268,1995-04-07,6-4,225,South Carolina/USA
Nia Coffey,nia-coffey,1628269,1995-06-11,6-1,182,Northwestern/USA
Napheesa Collier,napheesa-collier,1629483,1996-09-23,6-1,181,Connecticut/USA
Sydney Colson,sydney-colson,202641,1989-08-06,5-8,140,Texas A&M/USA
Te'a Cooper,tea-cooper,1630099,1997-04-16,5-8,160,Baylor/USA
Kahleah Copper,kahleah-copper,1627674,1994-08-28,6-1,155,Rutgers/USA
Lauren Cox,lauren-cox,1630100,1998-04-20,6-4,NA,USA/USA
Sophie Cunningham,sophie-cunningham,1629482,1996-08-16,6-1,170,Missouri/USA
Crystal Dangerfield,crystal-dangerfield,1630101,1998-05-11,5-5,122,USA/USA
Damiris Dantas,damiris-dantas,203024,1992-11-17,6-3,201,/Brazil
Diamond DeShields,diamond-deshields,1628890,1995-03-05,6-1,163,Tennessee/USA
Blake Dietrick,blake-dietrick,204355,1993-07-19,5-10,169,Princeton/USA
Skylar Diggins-Smith,skylar-diggins-smith,203400,1990-08-02,5-9,145,Notre Dame/USA
Stefanie Dolson,stefanie-dolson,203828,1992-01-08,6-5,231,Connecticut/USA
Kathleen Doyle,kathleen-doyle,1630104,1998-06-11,5-9,NA,Iowa/USA
Candice Dupree,candice-dupree,200676,1984-08-16,6-2,178,Temple/USA
Sylvia Fowles,sylvia-fowles,201480,1985-10-06,6-6,217,Louisiana State/USA
Jacki Gemelos,jacki-gemelos,203043,1988-11-22,6-0,165,USC/USA
Allisha Gray,allisha-gray,1628277,1995-01-12,6-0,167,South Carolina/USA
Chelsea Gray,chelsea-gray,203833,1992-10-08,5-11,170,Duke/USA
Reshanda Gray,reshanda-gray,204334,1993-06-01,6-2,192,California/USA
Brittney Griner,brittney-griner,203398,1990-10-18,6-9,205,Baylor/USA
Marie Gulich,marie-gulich,1628895,1994-05-28,6-5,205,Oregon State/Germany
Megan Gustafson,megan-gustafson,1629484,1996-12-13,6-3,195,Iowa/USA
Dearica Hamby,dearica-hamby,204324,1993-11-06,6-3,189,Wake Forest/USA
Isabelle Harrison,isabelle-harrison,204330,1993-09-27,6-3,183,Tennessee/USA
Mikiah Herbert Harrigan,mikiah-herbert-harrigan,1630114,1998-08-21,6-2,152,South Carolina/USA
Tyasha Harris,tyasha-harris,1630112,1998-05-01,5-10,NA,South Carolina/USA
Bria Hartley,bria-hartley,203829,1992-09-30,5-8,148,Connecticut/USA
Tianna Hawkins,tianna-hawkins,203403,1991-03-02,6-3,186,Maryland/USA
Ruthy Hebard,ruthy-hebard,1630113,1998-04-28,6-4,NA,Oregon/USA
Natisha Hiedeman,natisha-hiedeman,1629567,1997-02-10,5-8,135,Marquette/USA
Myisha Hines-Allen,myisha-hines-allen,1628899,1996-05-30,6-1,200,Louisville/USA
Bria Holmes,bria-holmes,1627678,1994-04-19,6-3,170,West Virginia/USA
Joyner Holmes,joyner-holmes,1630115,1998-02-22,6-3,200,Texas/USA
Natasha Howard,natasha-howard,203827,1991-09-02,6-2,165,Florida State/USA
Megan Huff,megan-huff,1629570,1996-04-17,6-4,NA,Utah/USA
Megan Huff,megan-huff,1629570,1996-04-17,6-4,NA,Utah/USA
Megan Huff,megan-huff,1629570,1996-04-17,6-4,NA,Utah/USA
Sabrina Ionescu,sabrina-ionescu,1629477,1997-12-06,5-11,165,Oregon/USA
Briann January,briann-january,201896,1987-01-11,5-8,144,Arizona State/USA
Moriah Jefferson,moriah-jefferson,1627669,1994-03-08,5-6,123,Connecticut/USA
Glory Johnson,glory-johnson,203017,1990-07-27,6-3,170,Tennessee/USA
Shenise Johnson,shenise-johnson,203018,1990-12-08,5-11,168,Miami (Fla.)/USA
Stella Johnson,stella-johnson,1630118,1998-07-11,5-10,158,Rider University/USA
Stella Johnson,stella-johnson,1630118,1998-07-11,5-10,158,Rider University/USA
Stella Johnson,stella-johnson,1630118,1998-07-11,5-10,158,Rider University/USA
Alexis Jones,alexis-jones,1628283,1994-05-08,5-9,167,Baylor/USA
Brionna Jones,brionna-jones,1628280,1995-12-18,6-3,230,Maryland/USA
Jazmine Jones,jazmine-jones,1630119,1996-10-15,6-0,160,Louisville/USA
Paris Kea,paris-kea,1629502,1996-04-07,5-9,142,North Carolina/USA
Betnijah Laney,betnijah-laney,204335,1993-10-29,6-0,166,Rutgers/USA
Crystal Langhorne,crystal-langhorne,201518,1986-10-27,6-2,185,Maryland/USA
Kiara Leslie,kiara-leslie,1629506,1995-12-06,6-0,175,North Carolina State/USA
Jewell Loyd,jewell-loyd,204319,1993-10-05,5-10,148,Notre Dame/USA
Marina Mabrey,marina-mabrey,1629497,1996-09-14,5-11,170,Notre Dame/USA
Ezi Magbegor,ezi-magbegor,1629496,1999-08-13,6-4,176,Australia/Australia
Stephanie Mavunga,stephanie-mavunga,1628906,1995-02-24,6-3,205,Ohio State/USA
Kayla McBride,kayla-mcbride,203825,1992-06-25,5-10,174,Notre Dame/USA
Erica McCall,erica-mccall,1628286,1995-08-21,6-2,184,Stanford/USA
Erica McCall,erica-mccall,1628286,1995-08-21,6-2,184,Stanford/USA
Erica McCall,erica-mccall,1628286,1995-08-21,6-2,184,Stanford/USA
Angel McCoughtry,angel-mccoughtry,201881,1986-09-10,6-1,173,Louisville/USA
Teaira McCowan,teaira-mccowan,1629479,1996-09-28,6-7,NA,Mississippi State/USA
Emma Meesseman,emma-meesseman,203416,1993-05-13,6-4,191,Belgium/Belgium
Kelsey Mitchell,kelsey-mitchell,1628909,1995-11-12,5-8,160,Ohio State/USA
Leilani Mitchell,leilani-mitchell,201507,1985-06-15,5-5,138,Utah/USA
Tiffany Mitchell,tiffany-mitchell,1627676,1994-09-23,5-9,152,South Carolina/USA
Beatrice Mompremier,beatrice-mompremier,1629492,1996-08-08,6-4,190,Miami/USA
Kaleena Mosqueda-Lewis,kaleena-mosqueda-lewis,204321,1993-11-03,5-11,180,Connecticut/USA
Astou Ndour,astou-ndour,203838,1994-08-22,6-5,150,/Spain
Kia Nurse,kia-nurse,1628915,1996-02-22,6-0,168,Connecticut/Canada
Leaonna Odom,leaonna-odom,1630127,1998-03-26,6-2,168,Duke/USA
Arike Ogunbowale,arike-ogunbowale,1629481,1997-03-02,5-8,165,Notre Dame/USA
Nneka Ogwumike,nneka-ogwumike,203014,1990-07-02,6-2,174,Stanford/USA
Candace Parker,candace-parker,201496,1986-04-19,6-4,175,Tennessee/USA
Cheyenne Parker,cheyenne-parker,204323,1992-08-22,6-4,193,Middle Tennessee/USA
Shey Peddy,shey-peddy,203035,1988-10-28,5-7,147,Temple/USA
Theresa Plaisance,theresa-plaisance,203849,1992-05-18,6-5,200,Louisiana State/USA
Aerial Powers,aerial-powers,1627672,1994-01-17,5-9,159,Michigan State/USA
Epiphanny Prince,epiphanny-prince,202259,1988-01-11,5-9,179,Rutgers/USA
Allie Quigley,allie-quigley,201516,1986-06-20,5-10,140,DePaul/USA
Danielle Robinson,danielle-robinson,202658,1989-05-10,5-9,137,Oklahoma/USA
Sugar Rodgers,sugar-rodgers,203411,1989-12-08,5-9,161,Georgetown/USA
Tierra Ruffin-Pratt,tierra-ruffin-pratt,203437,1991-04-11,5-11,180,North Carolina/USA
Mercedes Russell,mercedes-russell,1628920,1995-07-27,6-6,195,Tennessee/USA
Satou Sabally,satou-sabally,1630149,1998-04-25,6-4,NA,Oregon/USA
Katie Lou Samuelson,katie-lou-samuelson,1629478,1997-06-13,6-3,163,Connecticut/USA
Kylee Shook,kylee-shook,1630131,1998-03-18,6-4,200,Louisville/USA
Odyssey Sims,odyssey-sims,203824,1992-07-13,5-8,163,Baylor
Alanna Smith,alanna-smith,1629501,1996-09-10,6-4,180,Stanford/Australia
Azura Stevens,azura-stevens,1628922,1996-02-01,6-6,180,Connecticut/USA
Breanna Stewart,breanna-stewart,1627668,1994-08-27,6-4,170,Connecticut/USA
Kiah Stokes,kiah-stokes,204329,1993-03-30,6-3,191,Connecticut/USA
