player,snake_name,player_id,team,pos,dob,height,weight,college
Natalie Achonwa,natalie-achonwa,203831,MIN,F,11/22/1992,6-3in,190,Notre Dame/Canada
Jaylyn Agnew,jaylyn-agnew,1630153,ATL,NA,7/21/1997,5-11in,149,Creighton/USA
Bella Alarie,bella-alarie,1630093,DAL,NA,4/23/1998,6-4in,NA,Princeton/USA
Kayla Alexander,kayla-alexander,203405,MIN,C,1/5/1991,6-4in,186,Syracuse/Canada
Julie Allemand,julie-allemand,1627700,IND,NA,7/7/1996,5-8in,147,/Belgium
Lindsay Allen,lindsay-allen,1628263,IND,G,3/20/1995,5-8in,144,Notre Dame/USA
Kristine Anigwe,kristine-anigwe,1629485,LAS,F-C,3/31/1997,6-4in,200,California/USA
Ariel Atkins,ariel-atkins,1628878,WAS,G,7/30/1996,5-8in,167,Texas/USA
Seimone Augustus,seimone-augustus,200671,LAS,G-F,4/30/1984,6-0in,174,Louisiana State/USA
Rachel Banham,rachel-banham,1627671,MIN,G,7/15/1993,5-9in,172,Minnesota/USA
Monique Billings,monique-billings,1628881,ATL,F,5/2/1996,6-4in,192,UCLA/USA
Sue Bird,sue-bird,100720,SEA,G,10/16/1980,5-9in,150,Connecticut/USA
DeWanna Bonner,dewanna-bonner,201886,CON,F-G,8/21/1987,6-4in,143,Auburn/USA
Brittany Brewer,brittany-brewer,1630095,ATL,NA,11/6/1997,6-5in,182,Texas Tech/USA
Kalani Brown,kalani-brown,1629480,ATL,C,3/21/1997,6-7in,245,Baylor/USA
Lexie Brown,lexie-brown,1628882,MIN,G,10/27/1994,5-9in,160,Duke/USA
Cierra Burdick,cierra-burdick,204332,LVA,F,9/30/1993,6-2in,172,Tennessee/USA
Kennedy Burke,kennedy-burke,1629568,IND,G,2/14/1997,NA,NA,UCLA/USA
Liz Cambage,liz-cambage,202633,LVA,C,8/18/1991,6-8in,216,Bulleen/Australia
Jordin Canada,jordin-canada,1628886,SEA,G,8/11/1995,5-6in,135,UCLA/USA
Emma Cannon,emma-cannon,1628242,LVA,F,6/1/1989,6-2in,190,Florida Southern/USA
Bridget Carleton,bridget-carleton,1629524,MIN,G,5/22/1997,6-1in,180,Iowa State/Canada
Essence Carson,essence-carson,201502,CON,G,7/28/1986,6-0in,163,Rutgers/USA
Chennedy Carter,chennedy-carter,1630150,ATL,NA,11/14/1998,5-9in,143,USA/USA
Kaila Charles,kaila-charles,1630097,CON,NA,3/23/1998,6-1in,167,Maryland/USA
Karima Christmas-Kelly,karima-christmas-kelly,202640,MIN,F-G,9/11/1989,6-0in,209,Duke/USA
Layshia Clarendon,layshia-clarendon,203406,NYL,G,5/2/1991,5-9in,158,California/USA
Alysha Clark,alysha-clark,202252,WAS,F,7/7/1987,5-11in,167,Middle Tennessee/USA
Alaina Coates,alaina-coates,1628268,WAS,C,4/7/1995,6-4in,225,South Carolina/USA
Nia Coffey,nia-coffey,1628269,LAS,F,6/11/1995,6-1in,182,Northwestern/USA
Napheesa Collier,napheesa-collier,1629483,MIN,F,9/23/1996,6-1in,181,Connecticut/USA
Sydney Colson,sydney-colson,202641,CHI,G,8/6/1989,5-8in,140,Texas A&M/USA
Te'a Cooper,tea-cooper,1630099,LAS,NA,4/16/1997,5-8in,160,Baylor/USA
