num,player,pos,height,weight,dob,exp,college,team
7,Layshia Clarendon,G,9-May,158,2-May-91,8,CALIFORNIA/USA,NYL
25,Asia Durr,G,10-May,151,5-Apr-97,1,LOUISVILLE/USA,NYL
10,Joyner Holmes,F,3-Jun,200,22-Feb-98,1,TEXAS/USA,NYL
6,Natasha Howard,F,2-Jun,165,2-Sep-91,7,FLORIDA STATE/USA,NYL
20,Sabrina Ionescu,G,11-May,165,6-Dec-97,1,OREGON/USA,NYL
23,Marine Johannes,G,10-May,134,21-Jan-95,1,FRANCE/FRANCE,NYL
4,Jazmine Jones,G,Jun-00,160,15-Oct-96,1,LOUISVILLE/USA,NYL
44,Betnijah Laney,G-F,Jun-00,166,29-Oct-93,5,RUTGERS/USA,NYL
0,Leaonna Odom,F,2-Jun,168,26-Mar-98,1,DUKE/USA,NYL
24,Kylee Shook,F,4-Jun,200,18-Mar-98,1,LOUISVILLE/USA,NYL
41,Kiah Stokes,C,3-Jun,191,30-Mar-93,5,CONNECTICUT/USA,NYL
33,Sami Whitcomb,G,10-May,145,20-Jul-88,4,WASHINGTON/AUSTRALIA,NYL
13,Jocelyn Willoughby,F-G,Jun-00,180,25-Mar-98,1,VIRGINIA/USA,NYL
21,Han Xu,C,9-Jun,193,31-Oct-99,1,CHINA/CHINA,NYL
25,Monique Billings,F,4-Jun,192,2-May-96,3,UCLA/USA,ATL
0,Odyssey Sims,G,8-May,163,13-Jul-92,7,BAYLOR/USA,ATL
22,Kalani Brown,C,7-Jun,245,21-Mar-97,2,BAYLOR/USA,ATL
3,Chennedy Carter,G,9-May,143,14-Nov-98,1,TEXAS A&M/USA,ATL
3,Kaela Davis,F,2-Jun,170,15-Mar-95,4,SOUTH CAROLINA/USA,ATL
21,Tianna Hawkins,F,3-Jun,186,2-Mar-91,7,MARYLAND/USA,ATL
15,Tiffany Hayes,G,10-May,155,20-Sep-89,8,CONNECTICUT/USA,ATL
32,Cheyenne Parker,F,4-Jun,193,22-Aug-92,6,MIDDLE TENNESSEE/USA,ATL
40,Shekinna Stricklen,F,2-Jun,230,30-Jul-90,9,TENNESSEE/USA,ATL
6,Yvonne Turner,G,10-May,131,13-Oct-87,3,NEBRASKA/USA,ATL
2,Shatori Walker-Kimbrough,G,9-May,140,18-May-95,4,MARYLAND/USA,ATL
10,Courtney Williams,G,8-May,133,11-May-94,5,SOUTH FLORIDA/USA,ATL
1,Elizabeth Williams,C-F,3-Jun,200,23-Jun-93,6,DUKE/USA,ATL
15,Brittany Boyd,G,9-May,156,11-Jun-93,5,NA,CHI
2,Kahleah Copper,G-F,1-Jun,155,28-Aug-94,5,RUTGERS/USA,CHI
1,Diamond DeShields,G,1-Jun,163,5-Mar-95,3,TENNESSEE/USA,CHI
31,Stefanie Dolson,C,5-Jun,231,8-Jan-92,7,CONNECTICUT/USA,CHI
24,Ruthy Hebard,F,4-Jun,lbs,28-Apr-98,1,OREGON/USA,CHI
23,Stephanie Mavunga,F,3-Jun,205,24-Feb-95,3,OHIO STATE/USA,CHI
3,Candace Parker,F-C,4-Jun,175,19-Apr-86,13,TENNESSEE/USA,CHI
14,Allie Quigley,G,10-May,140,20-Jun-86,12,DEPAUL/USA,CHI
30,Azura Stevens,F-C,6-Jun,180,1-Feb-96,3,CONNECTICUT/USA,CHI
22,Courtney Vandersloot,G,8-May,145,8-Feb-89,10,GONZAGA/USA,CHI
15,Gabby Williams,F,11-May,172,9-Sep-96,3,CONNECTICUT/USA,CHI
22,Morgan Bertsch,F,4-Jun,lbs,NA,R,CALIFORNIA-DAVIS/USA,CON
24,DeWanna Bonner,F-G,4-Jun,143,21-Aug-87,11,AUBURN/USA,CON
3,Kaila Charles,G-F,1-Jun,167,23-Mar-98,1,MARYLAND/USA,CON
2,Natisha Hiedeman,G,8-May,135,10-Feb-97,2,MARQUETTE/USA,CON
20,Briann January,G,8-May,144,11-Jan-87,12,ARIZONA STATE/USA,CON
35,Jonquel Jones,F,6-Jun,190,5-Jan-94,4,GEORGE WASHINGTON/USA,CON
42,Brionna Jones,F,3-Jun,230,18-Dec-95,4,MARYLAND/USA,CON
1,Beatrice Mompremier,F,4-Jun,190,8-Aug-96,1,MIAMI/USA,CON
3,Kamiah Smalls,NA,10-May,lbs,17-Apr-98,1,JAMES MADISON/USA,CON
25,Alyssa Thomas,F,2-Jun,185,12-Apr-92,7,MARYLAND/USA,CON
5,Jasmine Thomas,G,9-May,143,30-Sep-89,10,DUKE/USA,CON
NA,Sydney Wallace,NA,ft,lbs,6-Dec-93,R,USA/USA,CON
32,Bella Alarie,C-F,4-Jun,lbs,23-Apr-98,1,PRINCETON/USA,DAL
15,Allisha Gray,G,Jun-00,167,12-Jan-95,4,SOUTH CAROLINA/USA,DAL
10,Megan Gustafson,C,3-Jun,195,13-Dec-96,2,IOWA/USA,DAL
52,Tyasha Harris,G,10-May,lbs,1-May-98,1,SOUTH CAROLINA/USA,DAL
20,Isabelle Harrison,F,3-Jun,183,27-Sep-93,4,TENNESSEE/USA,DAL
4,Moriah Jefferson,G,6-May,123,8-Mar-94,4,CONNECTICUT/USA,DAL
3,Marina Mabrey,G,11-May,170,14-Sep-96,2,NOTRE DAME/USA,DAL
24,Arike Ogunbowale,G,8-May,165,2-Mar-97,2,NOTRE DAME/USA,DAL
0,Satou Sabally,F,4-Jun,lbs,25-Apr-98,1,OREGON/USA,DAL
6,Kayla Thornton,F,1-Jun,190,20-Oct-92,5,TEXAS-EL PASO/USA,DAL
20,Julie Allemand,G,8-May,147,7-Jul-96,1,CASTORS BRAINE/BELGIUM,IND
12,Lindsay Allen,G,8-May,144,20-Mar-95,3,NOTRE DAME/USA,IND
51,Jessica Breland,F,2-Jun,166,23-Feb-88,8,NORTH CAROLINA/USA,IND
8,Kennedy Burke,NA,ft,lbs,14-Feb-97,2,UCLA/USA,IND
13,Lauren Cox,F,4-Jun,lbs,20-Apr-98,1,BAYLOR/USA,IND
2,Kathleen Doyle,G,9-May,lbs,11-Jun-98,1,IOWA/USA,IND
14,Jantel Lavender,F,4-Jun,185,12-Nov-88,9,OHIO STATE/USA,IND
15,Teaira McCowan,NA,7-Jun,lbs,28-Sep-96,2,MISSISSIPPI STATE/USA,IND
25,Tiffany Mitchell,G,9-May,152,23-Sep-94,5,SOUTH CAROLINA/USA,IND
0,Kelsey Mitchell,G,8-May,160,12-Nov-95,3,OHIO STATE/USA,IND
11,Chanelle Molina,NA,9-May,lbs,9-Mar-98,R,WASHINGTON STATE/USA,IND
3,Danielle Robinson,G,9-May,137,10-May-89,9,OKLAHOMA/USA,IND
35,Victoria Vivians,G,1-Jun,183,17-Nov-94,2,MISSISSIPPI STATE/USA,IND
8,Liz Cambage,C,8-Jun,216,18-Aug-91,4,BULLEEN/AUSTRALIA,LVA
32,Emma Cannon,F,2-Jun,190,1-Jun-89,2,FLORIDA SOUTHERN/USA,LVA
12,Chelsea Gray,G,11-May,170,8-Oct-92,6,DUKE/USA,LVA
5,Dearica Hamby,F,3-Jun,189,6-Nov-93,6,WAKE FOREST/USA,LVA
35,Angel McCoughtry,F-G,1-Jun,173,10-Sep-86,11,LOUISVILLE/USA,LVA
19,JiSu Park,C,5-Jun,206,6-Dec-98,2,NA,LVA
10,Kelsey Plum,G,8-May,145,24-Aug-94,3,WASHINGTON/USA,LVA
2,Riquna Williams,G,7-May,165,28-May-90,8,MIAMI/USA,LVA
22,A'ja Wilson,F,4-Jun,195,8-Aug-96,3,SOUTH CAROLINA/USA,LVA
0,Jackie Young,G,Jun-00,165,16-Sep-97,2,NOTRE DAME/USA,LVA
31,Kristine Anigwe,F-C,4-Jun,200,31-Mar-97,2,CALIFORNIA/USA,LAS
33,Seimone Augustus,G-F,Jun-00,174,30-Apr-84,15,LOUISIANA STATE/USA,LAS
4,Te'a Cooper,G,8-May,160,16-Apr-97,1,BAYLOR/USA,LAS
21,Marie Galich,C,5-Jun,205,28-May-94,3,OREGON STATE/GERMANY,LAS
32,Bria Holmes,G,3-Jun,170,19-Apr-94,4,WEST VIRGINIA/USA,LAS
30,Nneka Ogwumike,F,2-Jun,174,2-Jul-90,9,STANFORD/USA,LAS
13,Chiney Ogwumike,F-C,4-Jun,173,22-Mar-92,4,STANFORD/USA,LAS
10,Tierra Ruffin-Pratt,G,11-May,180,11-Apr-91,8,NORTH CAROLINA/USA,LAS
15,Brittney Sykes,G,9-May,154,7-Feb-94,4,SYRACUSE/USA,LAS
20,Kristi Toliver,G,7-May,130,27-Jan-87,11,MARYLAND/USA,LAS
7,Maria Vadeeva,C,4-Jun,185,16-Jul-98,2,RUSSIA/RUSSIA,LAS
17,Erica Wheeler,G,7-May,143,2-May-91,5,RUTGERS/USA,LAS
24,Sydney Wiese,G,Jun-00,165,16-Jun-95,4,OREGON STATE/USA,LAS
17,Amanda Zahui B.,C,5-Jun,184,8-Sep-93,6,MINNESOTA/SWEDEN,LAS
11,Natalie Achonwa,F,3-Jun,190,22-Nov-92,6,NOTRE DAME/USA,MIN
15,Rachel Banham,G,9-May,172,15-Jul-93,5,MINNESOTA/USA,MIN
4,Lexie Brown,G,9-May,160,27-Oct-94,3,DUKE/USA,MIN
6,Bridget Carleton,F,1-Jun,180,22-May-97,2,IOWA STATE/CANADA,MIN
24,Napheesa Collier,F,1-Jun,181,23-Sep-96,2,CONNECTICUT/USA,MIN
2,Crystal Dangerfield,G,5-May,122,11-May-98,1,CONNECTICUT/USA,MIN
12,Damiris Dantas,F,3-Jun,201,17-Nov-92,6,REAL CELTA VIGO/BRAZIL,MIN
34,Sylvia Fowles,C,6-Jun,217,6-Oct-85,13,LOUISIANA STATE/USA,MIN
23,Linnae Harper,G,8-May,lbs,31-Jan-95,1,OHIO STATE/USA,MIN
21,Kayla McBride,G,10-May,174,25-Jun-92,7,NOTRE DAME/USA,MIN
23,Aerial Powers,F-G,9-May,159,17-Jan-94,5,MICHIGAN STATE/USA,MIN
10,Jessica Shepard,F,3-Jun,198,11-Sep-96,1,NA,MIN
9,Sophie Cunningham,G,1-Jun,170,16-Aug-96,2,MISSOURI/USA,PHO
4,Skylar Diggins-Smith,G,9-May,145,2-Aug-90,7,NOTRE DAME/USA,PHO
42,Brittney Griner,C,9-Jun,205,18-Oct-90,8,BAYLOR/USA,PHO
14,Bria Hartley,G,8-May,148,30-Sep-92,7,CONNECTICUT/USA,PHO
0,Kia Nurse,G,Jun-00,168,22-Feb-96,3,CONNECTICUT/CANADA,PHO
5,Shey Peddy,G,7-May,147,28-Oct-88,2,TEMPLE/USA,PHO
11,Alanna Smith,F,4-Jun,180,10-Sep-96,2,STANFORD/AUSTRALIA,PHO
3,Diana Taurasi,G,Jun-00,163,11-Jun-82,16,CONNECTICUT/USA,PHO
21,Brianna Turner,F,3-Jun,170,5-Jul-96,2,NOTRE DAME/USA,PHO
1,Kia Vaughn,C,4-Jun,205,24-Jan-87,11,RUTGERS/USA,PHO
2,Megan Walker,F,1-Jun,175,23-Nov-98,1,CONNECTICUT/USA,PHO
10,Sue Bird,G,5-9 ft,150,16-Oct-80,18,CONNECTICUT/USA,SEA
21,Jordin Canada,G,6-May,135,11-Aug-95,3,UCLA/USA,SEA
4,Candice Dupree,F,2-Jun,178,16-Aug-84,15,TEMPLE/USA,SEA
NA,Haley Gorecki,G,Jun-00,lbs,13-Nov-96,R,DUKE/USA,SEA
21,Mikiah Herbert Harrigan,F,2-Jun,152,21-Aug-98,1,SOUTH CAROLINA/USA,SEA
NA,Kitija Laksa,G,Jun-00,lbs,21-May-96,R,SOUTH FLORIDA/LATVIA,SEA
24,Jewell Loyd,G,10-May,148,5-Oct-93,6,NOTRE DAME/USA,SEA
13,Ezi Magbegor,C,4-Jun,176,13-Aug-99,1,AUSTRALIA/AUSTRALIA,SEA
11,Epiphanny Prince,G,9-May,179,11-Jan-88,11,RUTGERS/USA,SEA
2,Mercedes Russell,C,6-Jun,195,27-Jul-95,3,TENNESSEE/USA,SEA
33,Katie Lou Samuelson,F,3-Jun,163,13-Jun-97,2,CONNECTICUT/USA,SEA
30,Breanna Stewart,F,4-Jun,170,27-Aug-94,4,CONNECTICUT/USA,SEA
8,Stephanie Talbot,F,2-Jun,192,15-Jun-94,3,AUSTRALIA/AUSTRALIA,SEA
3,Morgan Tuck,F,2-Jun,207,30-Apr-94,5,CONNECTICUT/USA,SEA
1,Tamera Young,F,2-Jun,175,30-Oct-86,12,JAMES MADISON/USA,SEA
7,Ariel Atkins,G,8-May,167,30-Jul-96,3,TEXAS/USA,WAS
31,Tina Charles,C,4-Jun,192,5-Dec-88,10,CONNECTICUT/USA,WAS
32,Alysha Clark,F,11-May,167,7-Jul-87,9,MIDDLE TENNESSEE/USA,WAS
11,Elena Delle Donne,F-G,5-Jun,187,5-Sep-89,7,DELAWARE/USA,WAS
88,Jacki Gemelos,G,Jun-00,165,22-Nov-88,2,SOUTHERN CALIFORNIA/USA,WAS
2,Myisha Hines-Allen,F,1-Jun,200,30-May-96,3,LOUISVILLE/USA,WAS
4,Stella Johnson,G,10-May,158,11-Jul-98,1,RIDER /USA,WAS
1,Kiara Leslie,G,Jun-00,175,6-Dec-95,1,NORTH CAROLINA STATE/USA,WAS
22,Erica McCall,F,2-Jun,184,21-Aug-95,4,STANFORD/USA,WAS
5,Leilani Mitchell,G,5-May,138,15-Jun-85,12,UTAH/USA,WAS
30,LaToya Sanders,F-C,2-Jun,170,11-Sep-86,7,NORTH CAROLINA/USA,WAS
NA,Sug Sutton,G,8-May,lbs,17-Dec-98,1,TEXAS/USA,WAS
